iname,fusion,adq2,blk
dev_0053.tif ,0.1404, 0.0000, 0.1404
dev_0054.tif ,0.3934, 0.0000, 0.3934
dev_0055.tif ,0.9752, 0.0000, 0.9752
dev_0056.jpg ,0.2855, 0.0000, 0.2855
dev_0057.jpg ,0.9445, 0.8567, 0.9389
dev_0058.tif ,0.2167, 0.0000, 0.2167
dev_0059.jpg ,0.9855, 0.9860, 0.9905
dev_0060.tif ,0.6422, 0.0000, 0.6422
dev_0061.tif ,0.1661, 0.0000, 0.1661
dev_0062.jpg ,0.8985, 0.0000, 0.8985
dev_0063.tif ,0.9671, 0.0000, 0.9671
dev_0064.tif ,0.9619, 0.0000, 0.9619
dev_0065.tif ,0.8437, 0.0000, 0.8437
dev_0066.tif ,0.8977, 0.0000, 0.8977
dev_0067.tif ,0.6346, 0.0000, 0.6346
dev_0068.tif ,0.0000, 0.0000, 0.0000
dev_0069.tif ,0.9780, 0.0000, 0.9780
dev_0070.tif ,0.8483, 0.0000, 0.8483
dev_0071.tif ,0.7407, 0.0000, 0.7407
dev_0072.tif ,0.3671, 0.0000, 0.0850
dev_0073.tif ,0.8567, 0.0000, 0.8567
dev_0074.jpg ,0.2563, 0.1966, 0.2580
dev_0075.tif ,0.8099, 0.0000, 0.8099
dev_0076.tif ,0.8666, 0.0000, 0.8666
dev_0077.jpg ,0.0000, 0.0000, 0.0000
dev_0078.tif ,0.6591, 0.0000, 0.6591
dev_0079.jpg ,0.2967, 0.9765, 0.0000
dev_0080.jpg ,0.3656, 0.9540, 0.1964
dev_0081.tif ,0.8571, 0.0000, 0.8571
dev_0082.tif ,0.9913, 0.0000, 0.9913
dev_0083.tif ,0.9882, 0.0000, 0.9882
dev_0084.jpg ,0.5852, 0.0000, 0.5852
dev_0085.jpg ,0.7329, 0.9578, 0.7369
dev_0086.tif ,0.7838, 0.0000, 0.7838
dev_0087.tif ,0.3751, 0.0000, 0.3751
dev_0088.tif ,0.6544, 0.0000, 0.6544
dev_0089.jpg ,0.8662, 0.9589, 0.8593
dev_0090.tif ,0.2835, 0.0000, 0.2835
dev_0091.jpg ,0.3975, 0.0000, 0.3975
dev_0092.tif ,0.6817, 0.0000, 0.6817
dev_0093.tif ,0.3378, 0.0000, 0.3378
dev_0094.tif ,0.5735, 0.0000, 0.0162
dev_0095.jpg ,0.7007, 0.2867, 0.6261
dev_0096.tif ,0.0417, 0.0000, 0.0417
dev_0097.tif ,0.0000, 0.0000, 0.0000
dev_0098.tif ,0.8563, 0.0000, 0.8563
dev_0099.jpg ,0.3172, 0.9458, 0.1216
dev_0100.jpg ,0.1608, 0.0000, 0.1608
dev_0101.tif ,0.0089, 0.0000, 0.0089
dev_0102.tif ,0.0009, 0.0000, 0.0009
dev_0103.tif ,0.8150, 0.0000, 0.8150
dev_0104.tif ,0.0157, 0.0000, 0.0157
dev_0105.tif ,0.4105, 0.0000, 0.0000
dev_0106.jpg ,0.9121, 0.9734, 0.9202
dev_0107.tif ,0.6994, 0.0000, 0.6994
dev_0108.jpg ,0.5439, 0.0000, 0.5439
dev_0109.jpg ,0.8504, 0.9900, 0.8449
dev_0110.tif ,0.8953, 0.0000, 0.8953
dev_0111.tif ,0.6377, 0.0000, 0.6377
dev_0112.tif ,0.1325, 0.0000, 0.1325
dev_0113.tif ,0.2673, 0.0000, 0.2673
dev_0114.tif ,0.9935, 0.0000, 0.9935
dev_0115.tif ,0.8109, 0.0000, 0.8109
dev_0116.tif ,0.0156, 0.0000, 0.0156
dev_0117.tif ,0.1018, 0.0000, 0.1018
dev_0118.tif ,0.1047, 0.0000, 0.1047
dev_0119.jpg ,0.2490, 0.9038, 0.0586
dev_0120.tif ,0.9888, 0.0000, 0.9888
dev_0121.jpg ,0.0912, 0.0000, 0.0912
dev_0122.tif ,0.8932, 0.0000, 0.8932
dev_0123.tif ,0.3459, 0.0000, 0.3459
dev_0124.jpg ,0.2498, 0.0000, 0.2498
dev_0125.tif ,0.5695, 0.0000, 0.5695
dev_0126.tif ,0.7106, 0.0000, 0.7106
dev_0127.tif ,0.0367, 0.0000, 0.0367
dev_0128.jpg ,0.3720, 0.9788, 0.0894
dev_0129.jpg ,0.6180, 0.0000, 0.6180
dev_0130.tif ,0.8127, 0.0000, 0.8127
dev_0131.tif ,0.0922, 0.0000, 0.0922
dev_0132.jpg ,0.5304, 0.9313, 0.4983
dev_0133.tif ,0.0400, 0.0000, 0.0000
dev_0134.tif ,0.3934, 0.0000, 0.3934
dev_0135.tif ,0.3950, 0.0000, 0.3950
dev_0136.tif ,0.8586, 0.0000, 0.8586
dev_0137.tif ,0.6721, 0.0000, 0.6721
dev_0138.tif ,0.5867, 0.0000, 0.5867
dev_0139.tif ,0.3940, 0.0000, 0.3940
dev_0140.tif ,0.7240, 0.0000, 0.7240
dev_0141.tif ,0.2623, 0.0000, 0.0412
dev_0142.tif ,0.7843, 0.0000, 0.7843
dev_0143.jpg ,0.0000, 0.0000, 0.0000
dev_0144.tif ,0.4051, 0.0000, 0.0000
dev_0145.tif ,0.9657, 0.0000, 0.9657
dev_0146.tif ,0.8684, 0.0000, 0.8684
dev_0147.jpg ,0.9836, 0.9908, 0.9854
dev_0148.jpg ,0.9327, 0.9579, 0.9256
dev_0149.tif ,0.3063, 0.0000, 0.3063
dev_0150.jpg ,0.4607, 0.9893, 0.4971
dev_0151.tif ,0.9297, 0.0000, 0.9297
dev_0152.tif ,0.9881, 0.0000, 0.9881
dev_0153.tif ,0.3800, 0.0000, 0.3800
dev_0154.jpg ,0.5117, 0.1281, 0.5090
dev_0155.tif ,0.0950, 0.0000, 0.0950
dev_0156.tif ,0.9704, 0.0000, 0.9704
dev_0157.tif ,0.7548, 0.0000, 0.7548
dev_0158.jpg ,0.2112, 0.9847, 0.2112
dev_0159.tif ,0.1757, 0.0000, 0.1757
dev_0160.tif ,0.8366, 0.0000, 0.8366
dev_0161.tif ,0.0000, 0.0000, 0.0000
dev_0162.tif ,0.1541, 0.0000, 0.1541
dev_0163.tif ,0.9821, 0.0000, 0.9821
dev_0164.jpg ,0.6551, 0.8744, 0.6606
dev_0165.jpg ,0.9793, 0.9860, 0.9834
dev_0166.tif ,0.2962, 0.0000, 0.0133
dev_0167.tif ,0.6520, 0.0000, 0.6520
dev_0168.tif ,0.9346, 0.0000, 0.9346
dev_0169.tif ,0.3144, 0.0000, 0.3144
dev_0170.jpg ,0.0013, 0.0000, 0.0013
dev_0171.tif ,0.1498, 0.0000, 0.1498
dev_0172.tif ,0.9410, 0.0000, 0.9410
dev_0173.jpg ,0.9669, 0.8426, 0.9466
dev_0174.tif ,0.9855, 0.0000, 0.9855
dev_0175.tif ,0.1739, 0.0000, 0.1739
dev_0176.jpg ,0.8119, 0.0000, 0.8119
dev_0177.tif ,0.9321, 0.0000, 0.9321
dev_0178.jpg ,0.0776, 0.0000, 0.0776
dev_0179.tif ,0.2580, 0.0000, 0.2580
dev_0180.jpg ,0.3080, 0.9759, 0.1621
dev_0181.jpg ,0.0014, 0.0000, 0.0014
dev_0182.tif ,0.9890, 0.0000, 0.9890
dev_0183.tif ,0.0159, 0.0000, 0.0159
dev_0184.jpg ,0.1611, 0.9538, 0.0603
dev_0185.jpg ,0.9866, 0.9643, 0.9794
dev_0186.tif ,0.7021, 0.0000, 0.7021
dev_0187.jpg ,0.1803, 0.0000, 0.0539
dev_0188.jpg ,0.4813, 0.5073, 0.4811
dev_0189.tif ,0.7673, 0.0000, 0.7673
dev_0190.tif ,0.9239, 0.0000, 0.9239
dev_0191.jpg ,0.8826, 0.0000, 0.8826
dev_0192.tif ,0.9891, 0.0000, 0.9891
dev_0193.jpg ,0.4464, 0.0000, 0.4464
dev_0194.jpg ,0.8078, 0.9528, 0.8029
dev_0195.tif ,0.6394, 0.0000, 0.6394
dev_0196.tif ,0.7289, 0.0000, 0.7289
dev_0197.tif ,0.8033, 0.0000, 0.8033
dev_0198.tif ,0.9155, 0.0000, 0.9155
dev_0199.tif ,0.6655, 0.0000, 0.6655
dev_0200.tif ,0.8443, 0.0000, 0.8443
dev_0201.tif ,0.9742, 0.0000, 0.9742
dev_0202.jpg ,0.9250, 0.0000, 0.9250
dev_0203.tif ,0.0000, 0.0000, 0.0000
dev_0204.tif ,0.6886, 0.0000, 0.6886
dev_0205.tif ,0.0659, 0.0000, 0.0000
dev_0206.jpg ,0.4697, 0.9707, 0.4637
dev_0207.tif ,0.9572, 0.0000, 0.9572
dev_0208.jpg ,0.0000, 0.0000, 0.0000
dev_0209.jpg ,0.9546, 0.9841, 0.9536
dev_0210.tif ,0.8375, 0.0000, 0.8375
dev_0211.jpg ,0.8974, 0.9391, 0.9059
dev_0212.tif ,0.2896, 0.0000, 0.2896
dev_0213.tif ,0.6069, 0.0000, 0.6069
dev_0214.tif ,0.8387, 0.0000, 0.8387
dev_0215.jpg ,0.8696, 0.0000, 0.8696
dev_0216.tif ,0.0000, 0.0000, 0.0000
dev_0217.tif ,0.9942, 0.0000, 0.9942
dev_0218.tif ,0.8147, 0.0000, 0.8147
dev_0219.tif ,0.9505, 0.0000, 0.9505
dev_0220.tif ,0.9789, 0.0000, 0.9789
dev_0221.jpg ,0.3198, 0.0000, 0.0000
dev_0222.tif ,0.4474, 0.0000, 0.4474
dev_0223.jpg ,0.5658, 0.3369, 0.5682
dev_0224.jpg ,0.8657, 0.0000, 0.8657
dev_0225.tif ,0.5441, 0.0000, 0.0634
dev_0226.jpg ,0.9696, 0.0000, 0.9696
dev_0227.jpg ,0.9210, 0.0000, 0.9210
dev_0228.tif ,0.7340, 0.0000, 0.7340
dev_0229.jpg ,0.4585, 0.0000, 0.4585
dev_0230.jpg ,0.6949, 0.0055, 0.6945
dev_0231.tif ,0.8609, 0.0000, 0.8609
dev_0232.jpg ,0.5779, 0.0000, 0.5779
dev_0233.tif ,0.1191, 0.0000, 0.1191
dev_0234.tif ,0.5038, 0.0000, 0.5038
dev_0235.tif ,0.5264, 0.0000, 0.5264
dev_0236.tif ,0.9461, 0.0000, 0.9461
dev_0237.tif ,0.9539, 0.0000, 0.9539
dev_0238.tif ,0.4191, 0.0000, 0.0149
dev_0239.tif ,0.8700, 0.0000, 0.8700
dev_0240.tif ,0.7921, 0.0000, 0.7921
dev_0241.tif ,0.1708, 0.0000, 0.1708
dev_0242.tif ,0.9343, 0.0000, 0.9343
dev_0243.tif ,0.5109, 0.0000, 0.5109
dev_0244.tif ,0.1356, 0.0000, 0.0000
dev_0245.tif ,0.0000, 0.0000, 0.0000
dev_0246.tif ,0.8220, 0.0000, 0.8220
dev_0247.jpg ,0.9702, 0.9839, 0.9762
dev_0248.tif ,0.9443, 0.0000, 0.9443
dev_0249.jpg ,0.5048, 0.6653, 0.5128
dev_0250.jpg ,0.2798, 0.9600, 0.0012
dev_0251.tif ,0.9396, 0.0000, 0.9396
dev_0252.tif ,0.6129, 0.0000, 0.6129
dev_0253.jpg ,0.9275, 0.9653, 0.9437
dev_0254.jpg ,0.5876, 0.2127, 0.5884
dev_0255.tif ,0.0001, 0.0000, 0.0001
dev_0256.tif ,0.0103, 0.0000, 0.0103
dev_0257.tif ,0.5511, 0.0000, 0.5511
dev_0258.tif ,0.1437, 0.0000, 0.1437
dev_0259.tif ,0.9917, 0.0000, 0.9917
dev_0260.tif ,0.7361, 0.0000, 0.7361
dev_0261.tif ,0.7699, 0.0000, 0.7699
dev_0262.tif ,0.6077, 0.0000, 0.6077
dev_0263.jpg ,0.9508, 0.9829, 0.9535
dev_0264.tif ,0.2029, 0.0000, 0.2029
dev_0265.tif ,0.0000, 0.0000, 0.8246
dev_0266.jpg ,0.3689, 0.9913, 0.0003
dev_0267.jpg ,0.6403, 0.0313, 0.6549
dev_0268.tif ,0.2348, 0.0000, 0.2348
dev_0269.tif ,0.3489, 0.0000, 0.3489
dev_0270.tif ,0.8451, 0.0000, 0.8451
dev_0271.tif ,0.7043, 0.0000, 0.0106
dev_0272.jpg ,0.2530, 0.8977, 0.1521
dev_0273.tif ,0.6475, 0.0000, 0.6475
dev_0274.jpg ,0.1875, 0.9867, 0.0000
dev_0275.tif ,0.1136, 0.0000, 0.0000
dev_0276.jpg ,0.7641, 0.8896, 0.8242
dev_0277.tif ,0.5524, 0.0000, 0.5524
dev_0278.tif ,0.1271, 0.0000, 0.1271
dev_0279.jpg ,0.4513, 0.4760, 0.2216
dev_0280.jpg ,0.6171, 0.0000, 0.6171
dev_0281.tif ,0.7187, 0.0000, 0.7187
dev_0282.jpg ,0.4727, 0.9538, 0.3977
dev_0283.tif ,0.0000, 0.0000, 0.0000
dev_0284.jpg ,0.5529, 0.4167, 0.5421
dev_0285.tif ,0.9404, 0.0000, 0.9404
dev_0286.jpg ,0.0040, 0.0043, 0.0000
dev_0287.tif ,0.6304, 0.0000, 0.6304
dev_0288.tif ,0.1255, 0.0000, 0.1255
dev_0289.tif ,0.8827, 0.0000, 0.8827
dev_0290.tif ,0.9136, 0.0000, 0.9136
dev_0291.tif ,0.4915, 0.0000, 0.4915
dev_0292.jpg ,0.4232, 0.9834, 0.4158
dev_0293.tif ,0.0963, 0.0000, 0.0963
dev_0294.jpg ,0.6988, 0.9800, 0.6560
dev_0295.tif ,0.4239, 0.0000, 0.4239
dev_0296.jpg ,0.6753, 0.0000, 0.6753
dev_0297.tif ,0.3406, 0.0000, 0.3406
dev_0298.tif ,0.7159, 0.0000, 0.7159
dev_0299.tif ,0.0074, 0.0000, 0.0074
dev_0300.tif ,0.0463, 0.0000, 0.0463
dev_0301.tif ,0.6999, 0.0000, 0.6999
dev_0302.tif ,0.6811, 0.0000, 0.6811
dev_0303.jpg ,0.5952, 0.0000, 0.0260
dev_0304.tif ,0.2246, 0.0000, 0.2246
dev_0305.tif ,0.7221, 0.0000, 0.7221
dev_0306.tif ,0.0084, 0.0000, 0.0084
dev_0307.tif ,0.1733, 0.0000, 0.1733
dev_0308.tif ,0.0000, 0.0000, 0.0000
dev_0309.tif ,0.2183, 0.0000, 0.2183
dev_0310.jpg ,0.0553, 0.0384, 0.0532
dev_0311.jpg ,0.6598, 0.9922, 0.6592
dev_0312.tif ,0.9129, 0.0000, 0.9129
dev_0313.tif ,0.9728, 0.0000, 0.9728
dev_0314.tif ,0.3007, 0.0000, 0.3007
dev_0315.tif ,0.6336, 0.0000, 0.6336
dev_0316.tif ,0.8306, 0.0000, 0.8306
dev_0317.tif ,0.9372, 0.0000, 0.9372
dev_0318.jpg ,0.7532, 0.9582, 0.7534
dev_0319.tif ,0.9756, 0.0000, 0.9756
dev_0320.jpg ,0.9332, 0.0000, 0.9332
dev_0321.jpg ,0.8269, 0.8936, 0.8695
dev_0322.jpg ,0.7065, 0.9705, 0.6916
dev_0323.tif ,0.2614, 0.0000, 0.2614
dev_0324.tif ,0.8775, 0.0000, 0.8775
dev_0325.tif ,0.9790, 0.0000, 0.9790
dev_0326.tif ,0.0000, 0.0000, 0.0000
dev_0327.tif ,0.8698, 0.0000, 0.8698
dev_0328.tif ,0.9268, 0.0000, 0.9268
dev_0329.jpg ,0.2710, 0.9397, 0.0000
dev_0330.tif ,0.8566, 0.0000, 0.8566
dev_0331.tif ,0.0001, 0.0000, 0.0000
dev_0332.tif ,0.2973, 0.0000, 0.0073
dev_0333.jpg ,0.9843, 0.9846, 0.9507
dev_0334.tif ,0.6630, 0.0000, 0.6630
dev_0335.tif ,0.3467, 0.0000, 0.3467
dev_0336.tif ,0.8648, 0.0000, 0.8648
dev_0337.jpg ,0.3530, 0.9898, 0.0000
dev_0338.jpg ,0.1159, 0.0000, 0.1159
dev_0339.jpg ,0.6149, 0.9585, 0.2622
dev_0340.tif ,0.6430, 0.0000, 0.6430
dev_0341.tif ,0.0153, 0.0000, 0.0153
dev_0342.jpg ,0.1034, 0.5904, 0.0072
dev_0343.jpg ,0.9524, 0.9868, 0.9524
dev_0344.tif ,0.9038, 0.0000, 0.9038
dev_0345.tif ,0.0282, 0.0000, 0.0000
dev_0346.tif ,0.5764, 0.0000, 0.5764
dev_0347.jpg ,0.3116, 0.9764, 0.0000
dev_0348.jpg ,0.7060, 0.0000, 0.7060
dev_0349.tif ,0.9861, 0.0000, 0.9861
dev_0350.tif ,0.8259, 0.0000, 0.8259
dev_0351.tif ,0.9060, 0.0000, 0.9060
dev_0352.jpg ,0.8462, 0.0000, 0.8462
dev_0353.jpg ,0.2974, 0.0000, 0.2974
dev_0354.tif ,0.9481, 0.0000, 0.9481
dev_0355.jpg ,0.8649, 0.7727, 0.6655
dev_0356.tif ,0.9605, 0.0000, 0.9605
dev_0357.jpg ,0.2409, 0.9551, 0.0097
dev_0358.jpg ,0.7665, 0.9474, 0.7603
dev_0359.tif ,0.0169, 0.0000, 0.0169
dev_0360.tif ,0.3245, 0.0000, 0.0000
dev_0361.tif ,0.6992, 0.0000, 0.6992
dev_0362.tif ,0.2977, 0.0000, 0.2977
dev_0363.tif ,0.7744, 0.0000, 0.7744
dev_0364.tif ,0.9277, 0.0000, 0.9277
dev_0365.tif ,0.5436, 0.0000, 0.0000
dev_0366.tif ,0.3777, 0.0000, 0.3777
dev_0367.jpg ,0.9828, 0.9727, 0.7591
dev_0368.tif ,0.7335, 0.0000, 0.7335
dev_0369.tif ,0.7257, 0.0000, 0.7257
dev_0370.tif ,0.6397, 0.0000, 0.6397
dev_0371.tif ,0.8562, 0.0000, 0.8562
dev_0372.tif ,0.7089, 0.0000, 0.7089
dev_0373.jpg ,0.4125, 0.9777, 0.0007
dev_0374.tif ,0.7193, 0.0000, 0.7193
dev_0375.jpg ,0.2403, 0.0000, 0.0000
dev_0376.tif ,0.7329, 0.0000, 0.7329
dev_0377.tif ,0.4604, 0.0000, 0.4604
dev_0378.tif ,0.4560, 0.0000, 0.4560
dev_0379.jpg ,0.6095, 0.9801, 0.6030
dev_0380.tif ,0.2158, 0.0000, 0.2158
dev_0381.tif ,0.8736, 0.0000, 0.8736
dev_0382.tif ,0.8973, 0.0000, 0.8973
dev_0383.tif ,0.0573, 0.0000, 0.0573
dev_0384.tif ,0.1290, 0.0000, 0.0260
dev_0385.tif ,0.8579, 0.0000, 0.8579
dev_0386.tif ,0.4517, 0.0000, 0.4517
dev_0387.tif ,0.0000, 0.0000, 0.0000
dev_0388.tif ,0.9276, 0.0000, 0.9276
dev_0389.jpg ,0.8053, 0.9877, 0.7218
dev_0390.tif ,0.7392, 0.0000, 0.7392
dev_0391.tif ,0.9394, 0.0000, 0.9394
dev_0392.tif ,0.1060, 0.0000, 0.0000
dev_0393.tif ,0.3035, 0.0000, 0.3035
dev_0394.tif ,0.9885, 0.0000, 0.9885
dev_0395.jpg ,0.4691, 0.0000, 0.0199
dev_0396.tif ,0.0000, 0.0000, 0.0000
dev_0397.tif ,0.5527, 0.0000, 0.5527
dev_0398.jpg ,0.9525, 0.9823, 0.9571
dev_0399.jpg ,0.8466, 0.8922, 0.5909
dev_0400.jpg ,0.8678, 0.9374, 0.8902
dev_0401.tif ,0.5494, 0.0000, 0.5494
dev_0402.tif ,0.8517, 0.0000, 0.8517
dev_0403.tif ,0.0698, 0.0000, 0.0698
dev_0404.jpg ,0.9709, 0.9918, 0.9647
dev_0405.jpg ,0.7197, 0.9258, 0.6903
dev_0406.tif ,0.2226, 0.0000, 0.0335
dev_0407.jpg ,0.2079, 0.1724, 0.1112
dev_0408.jpg ,0.0000, 0.0000, 0.0000
dev_0409.jpg ,0.9567, 0.9908, 0.9545
dev_0410.jpg ,0.1473, 0.9797, 0.1473
dev_0411.jpg ,0.9344, 0.9759, 0.9405
dev_0412.tif ,0.4609, 0.0000, 0.4609
dev_0413.tif ,0.6004, 0.0000, 0.6004
dev_0414.tif ,0.9804, 0.0000, 0.9804
dev_0415.tif ,0.2346, 0.0000, 0.2346
dev_0416.tif ,0.4754, 0.0000, 0.0000
dev_0417.tif ,0.7995, 0.0000, 0.7995
dev_0418.tif ,0.6858, 0.0000, 0.6858
dev_0419.tif ,0.7265, 0.0000, 0.7265
dev_0420.jpg ,0.8290, 0.0000, 0.8290
dev_0421.tif ,0.4726, 0.0000, 0.4726
dev_0422.jpg ,0.9869, 0.0000, 0.9870
dev_0423.tif ,0.5617, 0.0000, 0.5617
dev_0424.tif ,0.0000, 0.0000, 0.0000
dev_0425.tif ,0.9921, 0.0000, 0.9921
dev_0426.tif ,0.7646, 0.0000, 0.7646
dev_0427.tif ,0.8627, 0.0000, 0.8627
dev_0428.tif ,0.6636, 0.0000, 0.6636
dev_0429.jpg ,0.7261, 0.8946, 0.7539
dev_0430.tif ,0.4042, 0.0000, 0.4042
dev_0431.tif ,0.5159, 0.0000, 0.5159
dev_0432.tif ,0.2187, 0.0000, 0.2187
dev_0433.tif ,0.8233, 0.0000, 0.8233
dev_0434.tif ,0.0000, 0.0000, 0.0000
dev_0435.tif ,0.5175, 0.0000, 0.5175
dev_0436.tif ,0.4452, 0.0000, 0.4452
dev_0437.tif ,0.8435, 0.0000, 0.8435
dev_0438.tif ,0.0000, 0.0000, 0.0000
dev_0439.tif ,0.3356, 0.0000, 0.3356
dev_0440.jpg ,0.0002, 0.0007, 0.0000
dev_0441.jpg ,0.9813, 0.9832, 0.9638
dev_0442.tif ,0.6717, 0.0000, 0.6717
dev_0443.tif ,0.6260, 0.0000, 0.6260
dev_0444.tif ,0.7196, 0.0000, 0.7196
dev_0445.jpg ,0.1446, 0.2670, 0.0814
dev_0446.tif ,0.0000, 0.0000, 0.0000
dev_0447.tif ,0.5411, 0.0000, 0.5411
dev_0448.tif ,0.6656, 0.0000, 0.6656
dev_0449.tif ,0.9172, 0.0000, 0.9172
dev_0450.tif ,0.9816, 0.0000, 0.9816
dev_0451.tif ,0.0000, 0.0000, 0.0000
dev_0452.jpg ,0.9254, 0.9775, 0.9166
dev_0453.tif ,0.1995, 0.0000, 0.0000
dev_0454.jpg ,0.9026, 0.7971, 0.9112
dev_0455.tif ,0.6615, 0.0000, 0.6615
dev_0456.jpg ,0.6942, 0.7410, 0.2453
dev_0457.tif ,0.3510, 0.0000, 0.2921
dev_0458.tif ,0.5078, 0.0000, 0.5078
dev_0459.tif ,0.1127, 0.0000, 0.1127
dev_0460.tif ,0.9807, 0.0000, 0.9807
dev_0461.tif ,0.7414, 0.0000, 0.7414
dev_0462.jpg ,0.6715, 0.8300, 0.7227
dev_0463.tif ,0.9599, 0.0000, 0.9599
dev_0464.tif ,0.2152, 0.0000, 0.2152
dev_0465.jpg ,0.4218, 0.0000, 0.0000
dev_0466.jpg ,0.6406, 0.9773, 0.0058
dev_0467.jpg ,0.8918, 0.9470, 0.8901
dev_0468.tif ,0.5357, 0.0000, 0.5357
dev_0469.tif ,0.7037, 0.0000, 0.7037
dev_0470.tif ,0.5283, 0.0000, 0.5283
dev_0471.tif ,0.6967, 0.0000, 0.6967
dev_0472.tif ,0.0000, 0.0000, 0.0000
dev_0473.tif ,0.8966, 0.0000, 0.8966
dev_0474.tif ,0.7388, 0.0000, 0.7388
dev_0475.jpg ,0.6024, 0.8010, 0.6116
dev_0476.jpg ,0.8868, 0.9817, 0.8789
dev_0477.jpg ,0.8372, 0.0000, 0.8372
dev_0478.tif ,0.4359, 0.0000, 0.4359
dev_0479.jpg ,0.8037, 0.9865, 0.7975
dev_0480.tif ,0.0009, 0.0000, 0.0009
dev_0481.jpg ,0.6099, 0.8402, 0.6169
dev_0482.jpg ,0.2742, 0.7136, 0.2669
dev_0483.tif ,0.9594, 0.0000, 0.9594
dev_0484.jpg ,0.9006, 0.9423, 0.8930
dev_0485.tif ,0.7842, 0.0000, 0.7842
dev_0486.jpg ,0.4548, 0.0000, 0.4548
dev_0487.tif ,0.5502, 0.0000, 0.5502
dev_0488.jpg ,0.7119, 0.0000, 0.7119
dev_0489.tif ,0.9864, 0.0000, 0.9864
dev_0490.jpg ,0.9319, 0.9858, 0.9341
dev_0491.tif ,0.9812, 0.0000, 0.9812
dev_0492.jpg ,0.5601, 0.7961, 0.5577
dev_0493.jpg ,0.8785, 0.9070, 0.9322
dev_0494.tif ,0.1070, 0.0000, 0.1070
dev_0495.tif ,0.0001, 0.0000, 0.0001
dev_0496.tif ,0.4661, 0.0000, 0.0000
dev_0497.tif ,0.0492, 0.0000, 0.0492
dev_0498.jpg ,0.9880, 0.9866, 0.9881
dev_0499.tif ,0.6716, 0.0000, 0.0000
dev_0500.tif ,0.0378, 0.0000, 0.0378
dev_0501.jpg ,0.1406, 0.0000, 0.1406
dev_0502.jpg ,0.0000, 0.0000, 0.0000
dev_0503.jpg ,0.9643, 0.0000, 0.9643
dev_0504.tif ,0.0000, 0.0000, 0.0000
dev_0505.tif ,0.9200, 0.0000, 0.9200
dev_0506.jpg ,0.7620, 0.0000, 0.7620
dev_0507.tif ,0.3549, 0.0000, 0.3549
dev_0508.jpg ,0.8583, 0.0000, 0.8583
dev_0509.tif ,0.0000, 0.0000, 0.2409
dev_0510.tif ,0.4611, 0.0000, 0.4611
dev_0511.tif ,0.7706, 0.0000, 0.7706
